"","LYL1","LYL2","LYL3","LYL4","LYL5","LYL6","Abundance","Type","phylum","class","order","family","genus","species"
"ASV1",0.116113558,0.112771312,0.119534445,0.10101447,0.101604278,0.117057251,0.111349219,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__Bradyrhizobium_sp._CCGE-LA001"
"ASV3",0.045218622,0.044235609,0.053947782,0.041837056,0.044786096,0.0493866,0.046568627,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__Bradyrhizobium_sp._CCGE-LA001"
"ASV9",0.020879207,0.02178358,0.019188424,0.018559295,0.017654923,0.02036804,0.019738912,"phoD","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_stutzeri"
"ASV30",0.00656653,0.009240327,0.009672853,0.005544196,0.007077697,0.010380623,0.008080371,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Sinorhizobium","s__Sinorhizobium_meliloti"
"ASV16",0.010459264,0.010105379,0.012739855,0.008217993,0.010026738,0.01234665,0.010649313,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__Bradyrhizobium_sp._CCGE-LA001"
"ASV24",0.00868984,0.005347594,0.006134004,0.007903429,0.00436458,0.00578012,0.006369928,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV23",0.008768481,0.004679144,0.005898081,0.006723813,0.003932054,0.007195659,0.006199539,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV44",0.004010695,0.006802454,0.006448569,0.004797106,0.006409248,0.006684492,0.005858761,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV35",0.005504876,0.004797106,0.004403901,0.007549544,0.00507235,0.00511167,0.005406574,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Sinorhizobium","s__Sinorhizobium_medicae"
"ASV78",0.002673797,0.003067002,0.002555835,0.002123309,0.001769424,0.002241271,0.002405106,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Ensifer","s__Ensifer_sojae"
"ASV29",0.006763133,0.004521862,0.003853413,0.003145643,0.004285939,0.006605851,0.00486264,"phoD","p__unclassified_d__Bacteria","c__unclassified_d__Bacteria","o__unclassified_d__Bacteria","f__unclassified_d__Bacteria","g__unclassified_d__Bacteria","s__uncultured_bacterium"
"ASV52",0.004207298,0.003696131,0.004128657,0.004718465,0.004010695,0.002673797,0.00390584,"phoD","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Phyllobacteriaceae","g__Mesorhizobium","s__Mesorhizobium_amorphae"
"ASV48",0.004757785,0.004167977,0.003420887,0.003971375,0.003342246,0.004639824,0.004050016,"phoD","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__unclassified_o__Burkholderiales","g__Rhizobacter","s__Rhizobacter_gummiphilus"
